year,pm,motto
2499,จอมพล แปลก พิบูลสงคราม,จงบำเพ็ญตนให้เป็นประโยชน์ต่อผู้อื่นและส่วนรวม
2502,จอมพล สฤษดิ์ ธนะรัชต์,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่รักความก้าวหน้า
2503,จอมพล สฤษดิ์ ธนะรัชต์,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่รักความสะอาด
2504,จอมพล สฤษดิ์ ธนะรัชต์,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่อยู่ในระเบียบวินัย
2505,จอมพล สฤษดิ์ ธนะรัชต์,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่ประหยัด
2506,จอมพล สฤษดิ์ ธนะรัชต์,ขอให้เด็กสมัยปฏิวัติของข้าพเจ้า จงเป็นเด็กที่มีความขยันหมั่นเพียรมากที่สุด
2508,จอมพล ถนอม กิตติขจร,เด็กจะเจริญต้องรักเรียนเพียรทำดี
2509,จอมพล ถนอม กิตติขจร,เด็กที่ดีต้องมีสัมมาคารวะ มานะ บากบั่น และสมานสามัคคี
2510,จอมพล ถนอม กิตติขจร,อนาคตของชาติจะสุกใส หากเด็กไทยแข็งแรง เรียนดี มีความประพฤติเรียบร้อย
2511,จอมพล ถนอม กิตติขจร,ความเจริญและความมั่นคงของชาติไทยในอนาคต ขึ้นอยู่กับเด็กที่มีวินัย มีความเฉลียวฉลาด และรักชาติยิ่ง
2512,จอมพล ถนอม กิตติขจร,รู้เรียน รู้เล่น รู้สามัคคี เป็นความดีที่เด็กพึงจำ
2513,จอมพล ถนอม กิตติขจร,เด็กประพฤติดีและศึกษาดี ทำให้มีอนาคตแจ่มใส
2514,จอมพล ถนอม กิตติขจร,ยามเด็กจงหมั่นเรียนเพียรกระทำดี เติบใหญ่จะได้มีความสุขความเจริญ
2515,จอมพล ถนอม กิตติขจร,เยาวชนฝึกตนดี มีความสามารถ
2516,จอมพล ถนอม กิตติขจร,เด็กดีเป็นศรีแก่ชาติ เด็กฉลาดชาติเจริญ
2517,สัญญา ธรรมศักดิ์,สามัคคีคือพลัง
2518,สัญญา ธรรมศักดิ์,เด็กดีคือทายาทของชาติไทย ต้องร่วมใจร่วมพลังสร้างความสามัคคี
2519,หม่อมราชวงศ์คึกฤทธิ์ ปราโมช,เด็กที่ต้องการเห็นอนาคตของชาติรุ่งเรือง จะต้องทำตัวให้ดีมีวินัยเสียแต่บัดนี้
2520,ธานินทร์ กรัยวิเชียร,รักชาติ ศาสน์ กษัตริย์ เป็นคุณสมบัติของเยาวชนไทย
2521,พลเอก เกรียงศักดิ์ ชมะนันทน์,เด็กดีเป็นศรีแก่ชาติ เด็กฉลาดชาติมั่นคง
2522,พลเอก เกรียงศักดิ์ ชมะนันทน์,เด็กไทยคือหัวใจของชาติ
2523,พลเอก เกรียงศักดิ์ ชมะนันทน์,อดทน ขยัน ประหยัด เป็นคุณสมบัติของเด็กไทย
2524,พลเอก เปรม ติณสูลานนท์,เด็กไทยมีวินัย ใจสัตย์ซื่อ รู้ประหยัด เคร่งครัดคุณธรรม
2525,พลเอก เปรม ติณสูลานนท์,ขยันศึกษา ใฝ่หาความรู้ เชิดชูชาติศาสน์กษัตริย์ เป็นคุณสมบัติของเด็กไทย
